Timestamp,total_traffic_mb_s,avg_latency_ms,total_bandwidth_used_mb_s,num_congested,recommendation
2024-04-20 00:00:00,213.74,28.95,217.21,0,Maintain current configuration
2024-04-20 01:00:00,130.85,28.59,140.2,1,Scale up capacity or reroute traffic
2024-04-20 02:00:00,137.72,48.28666666666667,135.99,0,Scale down unused capacity
2024-04-20 03:00:00,91.11,34.73,105.15,1,Scale up capacity or reroute traffic
2024-04-20 04:00:00,179.57,37.766666666666666,183.67,1,Scale up capacity or reroute traffic
2024-04-20 05:00:00,116.23999999999998,26.036666666666665,138.17,1,Scale up capacity or reroute traffic
2024-04-20 06:00:00,112.18,47.42333333333334,143.04000000000002,3,Scale up capacity or reroute traffic
2024-04-20 07:00:00,225.32,13.063333333333333,233.7,1,Scale up capacity or reroute traffic
2024-04-20 08:00:00,158.61,45.29666666666666,188.35,2,Scale up capacity or reroute traffic
2024-04-20 09:00:00,145.07999999999998,47.02333333333333,153.02,0,Scale down unused capacity
2024-04-20 10:00:00,211.99,38.15,246.33,1,Scale up capacity or reroute traffic
2024-04-20 11:00:00,195.36,34.50333333333333,196.89,0,Maintain current configuration
2024-04-20 12:00:00,104.49000000000001,30.58,105.05,0,Scale down unused capacity
2024-04-20 13:00:00,172.78,30.84,187.02,1,Scale up capacity or reroute traffic
2024-04-20 14:00:00,153.17000000000002,26.723333333333333,160.92,1,Scale up capacity or reroute traffic
2024-04-20 15:00:00,137.3,34.32333333333333,146.5,2,Scale up capacity or reroute traffic
2024-04-20 16:00:00,133.39,38.483333333333334,145.08999999999997,1,Scale up capacity or reroute traffic
2024-04-20 17:00:00,71.62,29.953333333333333,94.72,1,Scale up capacity or reroute traffic
2024-04-20 18:00:00,186.36,35.85666666666666,187.69,0,Maintain current configuration
2024-04-20 19:00:00,107.8,54.82333333333333,114.54,0,Scale down unused capacity
2024-04-20 20:00:00,141.84,45.38666666666666,159.62,1,Scale up capacity or reroute traffic
2024-04-20 21:00:00,150.85999999999999,39.78,149.51,0,Scale down unused capacity
2024-04-20 22:00:00,155.77,38.52333333333333,177.78000000000003,2,Scale up capacity or reroute traffic
